alimento,kcal,azucar_anadido,grasa_tot,grasa_sat,sodio,edulcorante,cafeina
"Chocolate amargo",575.0,0.0,52.3,32.28,24.0,False,False
"Chocolate con leche",522.0,44.0,29.7,18.51,79.0,False,False
"Chocolate blanco",548.0,59.0,32.1,19.41,90.0,False,False
"Grasa de cerdo refinada",898.0,0.0,99.8,39.2,0.0,False,False
"Grasa vacuna refinada",899.0,0.0,99.9,49.8,0.0,False,False
"Manteca",758.0,0.0,84.0,50.93,223.0,False,False
"Margarina vegetal",559.0,0.0,61.7,27.6,295.0,False,False
"Ketchup",113.0,10.6,0.1,0.01,907.0,False,False
"Mayonesa común",391.0,3.5,40.0,4.24,833.0,False,False
"Mostaza clásica",52.0,0.0,3.3,0.21,1104.0,False,False
"Salsa de soja común",62.0,1.3,0.5,0.04,6820.0,False,False
"Vinagre blanco / manzana / vino",1.0,0.0,0.0,0.0,8.0,False,False
"Sal fina común (NaCl)",0.0,0.0,0.0,0.0,40000.0,False,False
"Sal marina fina",0.0,0.0,0.0,0.0,34400.0,False,False
"Sal modificada (66% Cloruro de sodio)",0.0,0.0,0.0,0.0,26400.0,False,False
"Sal modificada (33% Cloruro de sodio)",0.0,0.0,0.0,0.0,13200.0,False,False
"Sal dietética sin sodio (100% KCl)",0.0,0.0,0.0,0.0,0.0,False,False
"Agua potable de red",0.0,0.0,0.0,0.0,5.0,False,False
"Edulcorante estevia líquido/polvo puro",0.0,0.0,0.0,0.0,10.0,True,False
"Edulcorante sucralosa / sacarina",0.0,0.0,0.0,0.0,10.0,True,False
"Café instantáneo en polvo",355.0,0.0,0.5,0.2,37.0,False,True
